benchmark,run,wall_s,user_s,sys_s,cpu_pct,max_rss_kb
filegen,1,0.35,0.32,0.02,99.0,2644
filegen,2,0.34,0.32,0.02,99.0,2516
filegen,3,0.35,0.33,0.01,100.0,2644
filegen,4,0.34,0.31,0.02,100.0,2640
filegen,5,0.35,0.32,0.02,99.0,2644
filegen,6,0.36,0.34,0.02,99.0,2604
filegen,7,0.36,0.34,0.02,100.0,2536
filegen,8,0.34,0.31,0.02,99.0,2644
filegen,9,0.34,0.32,0.02,99.0,2516
filegen,10,0.34,0.32,0.02,100.0,2500
filegen,11,0.34,0.32,0.02,100.0,2640
filegen,12,0.36,0.33,0.03,99.0,2644
filegen,13,0.35,0.33,0.02,99.0,2644
filegen,14,0.35,0.33,0.02,100.0,2564
filegen,15,0.35,0.32,0.02,99.0,2640
filegen,16,0.35,0.32,0.02,99.0,2640
filegen,17,0.34,0.32,0.02,99.0,2384
filegen,18,0.34,0.32,0.02,99.0,2644
filegen,19,0.34,0.32,0.02,99.0,2644
filegen,20,0.35,0.32,0.02,99.0,2644
filegen,21,0.34,0.32,0.02,99.0,2640
filegen,22,0.34,0.33,0.01,99.0,2640
filegen,23,0.34,0.32,0.02,99.0,2640
filegen,24,0.34,0.32,0.02,99.0,2512
filegen,25,0.34,0.31,0.03,100.0,2644
filegen,26,0.34,0.32,0.02,99.0,2636
filegen,27,0.34,0.32,0.02,99.0,2640
filegen,28,0.34,0.31,0.02,99.0,2640
filegen,29,0.35,0.33,0.01,99.0,2640
filegen,30,0.34,0.32,0.02,99.0,2636
filegen_load,1,0.54,0.73,0.28,186.0,2736
filegen_load,2,0.51,0.71,0.26,190.0,2732
filegen_load,3,0.54,0.75,0.26,186.0,2704
filegen_load,4,0.51,0.73,0.27,196.0,2740
filegen_load,5,0.59,0.73,0.27,171.0,2736
filegen_load,6,0.5,0.73,0.26,199.0,2740
filegen_load,7,0.51,0.68,0.28,189.0,2736
filegen_load,8,0.51,0.71,0.27,192.0,2740
filegen_load,9,0.5,0.73,0.26,196.0,2740
filegen_load,10,0.53,0.76,0.26,193.0,2740
filesearch,1,0.0,0.0,0.0,91.0,1512
filesearch,2,0.0,0.0,0.0,0.0,1512
filesearch,3,0.0,0.0,0.0,0.0,1512
filesearch,4,0.0,0.0,0.0,0.0,1512
filesearch,5,0.0,0.0,0.0,0.0,1512
filesearch,6,0.0,0.0,0.0,0.0,1512
filesearch,7,0.0,0.0,0.0,89.0,1512
filesearch,8,0.0,0.0,0.0,0.0,1512
filesearch,9,0.0,0.0,0.0,0.0,1512
filesearch,10,0.0,0.0,0.0,92.0,1444
filesearch,11,0.0,0.0,0.0,0.0,1512
filesearch,12,0.0,0.0,0.0,0.0,1512
filesearch,13,0.0,0.0,0.0,0.0,1512
filesearch,14,0.0,0.0,0.0,0.0,1508
filesearch,15,0.0,0.0,0.0,92.0,1512
filesearch,16,0.0,0.0,0.0,92.0,1448
filesearch,17,0.0,0.0,0.0,0.0,1512
filesearch,18,0.0,0.0,0.0,100.0,1512
filesearch,19,0.0,0.0,0.0,91.0,1512
filesearch,20,0.0,0.0,0.0,93.0,1448
filesearch,21,0.0,0.0,0.0,93.0,1512
filesearch,22,0.0,0.0,0.0,0.0,1512
filesearch,23,0.0,0.0,0.0,0.0,1512
filesearch,24,0.0,0.0,0.0,0.0,1512
filesearch,25,0.0,0.0,0.0,92.0,1448
filesearch,26,0.0,0.0,0.0,0.0,1512
filesearch,27,0.0,0.0,0.0,0.0,1512
filesearch,28,0.0,0.0,0.0,100.0,1512
filesearch,29,0.0,0.0,0.0,0.0,1512
filesearch,30,0.0,0.0,0.0,0.0,1512
filesearch_load,1,0.15,0.02,0.22,162.0,2740
filesearch_load,2,0.03,0.0,0.04,134.0,2740
filesearch_load,3,0.07,0.0,0.08,119.0,2736
filesearch_load,4,0.05,0.0,0.07,123.0,2740
filesearch_load,5,0.07,0.0,0.08,117.0,2740
filesearch_load,6,0.04,0.0,0.05,128.0,2740
filesearch_load,7,0.05,0.0,0.06,122.0,2740
filesearch_load,8,0.06,0.0,0.07,122.0,2740
filesearch_load,9,0.05,0.0,0.06,125.0,2740
filesearch_load,10,0.05,0.0,0.05,128.0,2740
filesearch_load,11,0.05,0.0,0.05,125.0,2740
filesearch_load,12,0.05,0.0,0.06,125.0,2740
filesearch_load,13,0.06,0.0,0.07,120.0,2740
filesearch_load,14,0.08,0.01,0.16,204.0,2740
filesearch_load,15,0.05,0.0,0.06,124.0,2740
filesearch_load,16,0.07,0.01,0.07,120.0,2740
filesearch_load,17,0.05,0.0,0.06,122.0,2740
filesearch_load,18,0.06,0.0,0.07,121.0,2740
filesearch_load,19,0.06,0.0,0.06,119.0,2740
filesearch_load,20,0.07,0.0,0.08,117.0,2740
filesearch_load,21,0.09,0.0,0.1,116.0,2740
filesearch_load,22,0.06,0.0,0.07,122.0,2740
filesearch_load,23,0.08,0.0,0.09,114.0,2740
filesearch_load,24,0.07,0.0,0.08,117.0,2740
filesearch_load,25,0.08,0.01,0.15,201.0,2740
filesearch_load,26,0.08,0.03,0.13,209.0,2740
filesearch_load,27,0.06,0.0,0.07,121.0,2740
filesearch_load,28,0.05,0.0,0.06,124.0,2740
filesearch_load,29,0.05,0.0,0.06,122.0,2740
filesearch_load,30,0.07,0.01,0.07,118.0,2740
